State,State Code,Year,Year Code,Avg Daily Sunlight (KJ/m²)
Alabama,1,1999,1999,17616.9
Alabama,1,2000,2000,17887.6
Alabama,1,2001,2001,16980.49
Alabama,1,2002,2002,16721.73
Alabama,1,2003,2003,17057.42
Alabama,1,2004,2004,16983.04
Alabama,1,2005,2005,17207.21
Alabama,1,2006,2006,17798.04
Alabama,1,2007,2007,17761.61
Alabama,1,2008,2008,17567.24
Alabama,1,2009,2009,17040.86
Alabama,1,2010,2010,17564.43
Arizona,4,1999,1999,19732.3
Arizona,4,2000,2000,19655.51
Arizona,4,2001,2001,19515.93
Arizona,4,2002,2002,20036.29
Arizona,4,2003,2003,19844.22
Arizona,4,2004,2004,19764.14
Arizona,4,2005,2005,19624.62
Arizona,4,2006,2006,19718.57
Arizona,4,2007,2007,19804.18
Arizona,4,2008,2008,19917.07
Arizona,4,2009,2009,20050.26
Arizona,4,2010,2010,19828.4
Arkansas,5,1999,1999,17244.44
Arkansas,5,2000,2000,16931.97
Arkansas,5,2001,2001,16416.07
Arkansas,5,2002,2002,15925.98
Arkansas,5,2003,2003,16660.25
Arkansas,5,2004,2004,16517.61
Arkansas,5,2005,2005,17243.83
Arkansas,5,2006,2006,17327.61
Arkansas,5,2007,2007,16681.82
Arkansas,5,2008,2008,17031.89
Arkansas,5,2009,2009,16475.66
Arkansas,5,2010,2010,16847.16
California,6,1999,1999,19325.02
California,6,2000,2000,19138.07
California,6,2001,2001,19332.97
California,6,2002,2002,19678.21
California,6,2003,2003,19342.63
California,6,2004,2004,19791.89
California,6,2005,2005,19181.27
California,6,2006,2006,19195.91
California,6,2007,2007,19698.04
California,6,2008,2008,19842.65
California,6,2009,2009,19663.69
California,6,2010,2010,19255.82
Colorado,8,1999,1999,17402.35
Colorado,8,2000,2000,17442.65
Colorado,8,2001,2001,17530.78
Colorado,8,2002,2002,17674.94
Colorado,8,2003,2003,17427.49
Colorado,8,2004,2004,17271.82
Colorado,8,2005,2005,17341.29
Colorado,8,2006,2006,17476.56
Colorado,8,2007,2007,17497.51
Colorado,8,2008,2008,17440.66
Colorado,8,2009,2009,17176.05
Colorado,8,2010,2010,17480.96
Connecticut,9,1999,1999,15447.92
Connecticut,9,2000,2000,14490.93
Connecticut,9,2001,2001,15479.87
Connecticut,9,2002,2002,15095.25
Connecticut,9,2003,2003,14482.83
Connecticut,9,2004,2004,14955.21
Connecticut,9,2005,2005,15245.65
Connecticut,9,2006,2006,14983.9
Connecticut,9,2007,2007,15452.6
Connecticut,9,2008,2008,15405.13
Connecticut,9,2009,2009,14738.4
Connecticut,9,2010,2010,15440.77
Delaware,10,1999,1999,16316.44
Delaware,10,2000,2000,15857.15
Delaware,10,2001,2001,16248.91
Delaware,10,2002,2002,16084.56
Delaware,10,2003,2003,15231.17
Delaware,10,2004,2004,15792.7
Delaware,10,2005,2005,15849.28
Delaware,10,2006,2006,16557.77
Delaware,10,2007,2007,16249.63
Delaware,10,2008,2008,16537.23
Delaware,10,2009,2009,15354.57
Delaware,10,2010,2010,16394.38
District of Columbia,11,1999,1999,16121.78
District of Columbia,11,2000,2000,15317.09
District of Columbia,11,2001,2001,15784.44
District of Columbia,11,2002,2002,15462.66
District of Columbia,11,2003,2003,14743.68
District of Columbia,11,2004,2004,15040.3
District of Columbia,11,2005,2005,15367.96
District of Columbia,11,2006,2006,15844.49
District of Columbia,11,2007,2007,16035.78
District of Columbia,11,2008,2008,15993.86
District of Columbia,11,2009,2009,14752
District of Columbia,11,2010,2010,16111.07
Florida,12,1999,1999,18963.94
Florida,12,2000,2000,19391.91
Florida,12,2001,2001,18398.6
Florida,12,2002,2002,17913.1
Florida,12,2003,2003,18754.06
Florida,12,2004,2004,18928.72
Florida,12,2005,2005,18986.52
Florida,12,2006,2006,19592.33
Florida,12,2007,2007,18945.54
Florida,12,2008,2008,19289.68
Florida,12,2009,2009,18870.38
Florida,12,2010,2010,19418.7
Georgia,13,1999,1999,18063.32
Georgia,13,2000,2000,17873.89
Georgia,13,2001,2001,17333.31
Georgia,13,2002,2002,16974.1
Georgia,13,2003,2003,17195.1
Georgia,13,2004,2004,17261.04
Georgia,13,2005,2005,17443.55
Georgia,13,2006,2006,17879.34
Georgia,13,2007,2007,18231.5
Georgia,13,2008,2008,17908.82
Georgia,13,2009,2009,17283.39
Georgia,13,2010,2010,17939.08
Idaho,16,1999,1999,16060.91
Idaho,16,2000,2000,16114.69
Idaho,16,2001,2001,16161.22
Idaho,16,2002,2002,16074.42
