State,Year,Births
Alabama,1999,62122
Alabama,2000,63299
Alabama,2001,60454
Alabama,2002,58967
Alabama,2003,59552
Alabama,2004,59510
Alabama,2005,60453
Alabama,2006,63232
Alabama,2007,64804
Alabama,2008,64546
Alabama,2009,62475
Alabama,2010,60050
Alaska,1999,9950
Alaska,2000,9974
Alaska,2001,10003
Alaska,2002,9938
Alaska,2003,10086
Alaska,2004,10338
Alaska,2005,10459
Alaska,2006,10996
Alaska,2007,11052
Alaska,2008,11442
Alaska,2009,11324
Alaska,2010,11471
Arizona,2000,85273
Arizona,2001,85597
Arizona,2002,87837
Arizona,2003,90967
Arizona,2004,93663
Arizona,2005,96199
Arizona,2006,102429
Arizona,2007,102981
Arizona,2008,99442
Arizona,2009,92798
Arizona,2010,87477
Arkansas,1999,36729
Arkansas,2000,37783
Arkansas,2001,37010
Arkansas,2002,37437
Arkansas,2003,37784
Arkansas,2004,38573
Arkansas,2005,39208
Arkansas,2006,40961
Arkansas,2007,41378
Arkansas,2008,40669
Arkansas,2009,39808
Arkansas,2010,38540
California,1999,518508
California,2000,531959
California,2001,527759
California,2002,529357
California,2003,540997
California,2004,544843
California,2005,548882
California,2006,562440
California,2007,566414
California,2008,551779
California,2009,527020
California,2010,510198
Colorado,1999,62167
Colorado,2000,65438
Colorado,2001,67007
Colorado,2002,68418
Colorado,2003,69339
Colorado,2004,68503
Colorado,2005,68944
Colorado,2006,70751
Colorado,2007,70809
Colorado,2008,70031
Colorado,2009,68628
Colorado,2010,66355
Connecticut,1999,43310
Connecticut,2000,43026
Connecticut,2001,42648
Connecticut,2002,42001
Connecticut,2003,42873
Connecticut,2004,42095
Connecticut,2005,41718
Connecticut,2006,41820
Connecticut,2007,41660
Connecticut,2008,40399
Connecticut,2009,38896
Connecticut,2010,37708
Delaware,1999,10676
Delaware,2000,11051
Delaware,2001,10749
Delaware,2002,11090
Delaware,2003,11329
Delaware,2004,11369
Delaware,2005,11643
Delaware,2006,11989
Delaware,2007,12170
Delaware,2008,12090
Delaware,2009,11559
Delaware,2010,11364
District of Columbia,1999,7522
District of Columbia,2000,7666
District of Columbia,2001,7625
District of Columbia,2002,7498
District of Columbia,2003,7619
District of Columbia,2004,7933
District of Columbia,2005,7971
District of Columbia,2006,8523
District of Columbia,2007,8864
District of Columbia,2008,9130
District of Columbia,2009,9040
District of Columbia,2010,9165
Florida,1999,197023
Florida,2000,204125
Florida,2001,205793
Florida,2002,205579
Florida,2003,212250
Florida,2004,218053
Florida,2005,226240
Florida,2006,236802
Florida,2007,239165
Florida,2008,231445
Florida,2009,221394
Florida,2010,214590
Georgia,1999,126717
Georgia,2000,132644
Georgia,2001,133526
Georgia,2002,133300
Georgia,2003,135979
Georgia,2004,138849
Georgia,2005,142200
Georgia,2006,148633
Georgia,2007,151137
Georgia,2008,146603
Georgia,2009,141377
Georgia,2010,133947
Hawaii,1999,17038
Hawaii,2000,17551
Hawaii,2001,17072
Hawaii,2002,17477
Hawaii,2003,18100
Hawaii,2004,18281
Hawaii,2005,17924
Hawaii,2006,18982
Hawaii,2007,19134
Hawaii,2008,19484
Hawaii,2009,18887
Hawaii,2010,18988
Idaho,2000,20366
Idaho,2001,20688
Idaho,2002,20970
Idaho,2003,21800
Idaho,2004,22532
Idaho,2005,23062
Idaho,2006,24184
Idaho,2007,25019
Idaho,2008,25149
Idaho,2009,23737
Idaho,2010,23198
Illinois,1999,182068
Illinois,2000,185036
Illinois,2001,184064
Illinois,2002,180622
Illinois,2003,182495
Illinois,2004,180778
Illinois,2005,179020
Illinois,2006,180572
Illinois,2007,180836
Illinois,2008,176795
Illinois,2009,171163
Illinois,2010,165200
Indiana,1999,86031
Indiana,2000,87699
Indiana,2001,86459
Indiana,2002,85081
Indiana,2003,86434
Indiana,2004,87142
Indiana,2005,87193
Indiana,2006,88631
Indiana,2007,89864
Indiana,2008,88742
Indiana,2009,86673
Indiana,2010,83940
Iowa,1999,37558
Iowa,2000,38266
Iowa,2001,37619
Iowa,2002,37559
Iowa,2003,38174
Iowa,2004,38438
Iowa,2005,39311
Iowa,2006,40607
Iowa,2007,40886
Iowa,2008,40224
Iowa,2009,39701
Iowa,2010,38719
Kansas,1999,38782
Kansas,2000,39666
Kansas,2001,38869
Kansas,2002,39412
Kansas,2003,39476
Kansas,2004,39669
Kansas,2005,39888
Kansas,2006,40968
Kansas,2007,42004
Kansas,2008,41833
Kansas,2009,41396
Kansas,2010,40649
Kentucky,1999,54403
Kentucky,2000,56029
Kentucky,2001,54658
Kentucky,2002,54233
Kentucky,2003,55236
Kentucky,2004,55720
Kentucky,2005,56444
Kentucky,2006,58250
Kentucky,2007,59368
Kentucky,2008,58375
Kentucky,2009,57551
Kentucky,2010,55784
Louisiana,1999,67136
Louisiana,2000,67898
Louisiana,2001,65352
Louisiana,2002,64872
Louisiana,2003,65040
Louisiana,2004,65369
Louisiana,2005,60937
Louisiana,2006,63376
Louisiana,2007,66301
Louisiana,2008,65268
Louisiana,2009,64973
Louisiana,2010,62379
Maine,1999,13616
Maine,2000,13603
Maine,2001,13759
Maine,2002,13559
Maine,2003,13855
Maine,2004,13944
Maine,2005,14112
Maine,2006,14151
