State,ICD.Chapter,Year,Deaths,Population,Crude.Rate,GDP,gdp_per_cap,Division,Region,national_crude_rate,ICD.Labels
AK,"Endocrine, nutritional and metabolic diseases",2006,143,675302,21.2,45094100000,66776.2,Pacific,West,33.2475465,Endocrine & nutritional diseases
AK,Diseases of the nervous system,2003,117,648414,18,32037900000,49409.64,Pacific,West,37.79283071,Nervous system diseases
AK,Certain infectious and parasitic diseases,2010,88,710231,12.4,53331600000,75090.5,Pacific,West,21.88954711,Infectious & parasitic diseases
AK,"Endocrine, nutritional and metabolic diseases",2005,114,666946,17.1,40356600000,60509.55,Pacific,West,34.90565347,Endocrine & nutritional diseases
AK,"Endocrine, nutritional and metabolic diseases",2004,124,659286,18.8,35302400000,53546.41,Pacific,West,33.82520763,Endocrine & nutritional diseases
AK,Diseases of the nervous system,2006,161,675302,23.8,45094100000,66776.2,Pacific,West,41.2108842,Nervous system diseases
AK,Mental and behavioural disorders,1999,93,624779,14.9,24744300000,39604.88,Pacific,West,15.09746797,Mental health
AK,"Congenital malformations, deformations and chromosomal abnormalities",1999,26,624779,4.2,24744300000,39604.88,Pacific,West,3.724553377,Congenital malformalities
AK,Diseases of the nervous system,2005,132,666946,19.8,40356600000,60509.55,Pacific,West,40.84812847,Nervous system diseases
AK,Diseases of the nervous system,1999,69,624779,11,24744300000,39604.88,Pacific,West,30.13078748,Nervous system diseases
AK,Diseases of the nervous system,2000,115,626932,18.3,26806600000,42758.39,Pacific,West,32.34076597,Nervous system diseases
AK,Diseases of the nervous system,2004,108,659286,16.4,35302400000,53546.41,Pacific,West,38.16563456,Nervous system diseases
AK,Diseases of the digestive system,2004,123,659286,18.7,35302400000,53546.41,Pacific,West,29.4861468,Digestive system diseases
AK,Mental and behavioural disorders,2006,208,675302,30.8,45094100000,66776.2,Pacific,West,30.75307563,Mental health
AK,Diseases of the genitourinary system,2001,35,633714,5.5,28494100000,44963.66,Pacific,West,20.01130263,Genitourinary diseases
AK,"Endocrine, nutritional and metabolic diseases",2007,140,680300,20.6,49583700000,72885.05,Pacific,West,32.87441596,Endocrine & nutritional diseases
AK,Diseases of the respiratory system,2000,211,626932,33.7,26806600000,42758.39,Pacific,West,82.11123408,Respiratory system diseases
AK,Diseases of the respiratory system,2001,226,633714,35.7,28494100000,44963.66,Pacific,West,80.71370441,Respiratory system diseases
AK,Diseases of the digestive system,1999,106,624779,17,24744300000,39604.88,Pacific,West,29.70038349,Digestive system diseases
AK,Diseases of the nervous system,2007,150,680300,22,49583700000,72885.05,Pacific,West,42.15931054,Nervous system diseases
AK,Diseases of the digestive system,2003,142,648414,21.9,32037900000,49409.64,Pacific,West,30.25218893,Digestive system diseases
AK,Mental and behavioural disorders,2001,122,633714,19.3,28494100000,44963.66,Pacific,West,17.83036331,Mental health
AK,Mental and behavioural disorders,2002,135,642337,21,29756800000,46325.84,Pacific,West,19.39607564,Mental health
AK,Mental and behavioural disorders,2003,140,648414,21.6,32037900000,49409.64,Pacific,West,20.70195026,Mental health
AK,Diseases of the nervous system,2001,108,633714,17,28494100000,44963.66,Pacific,West,33.87175982,Nervous system diseases
AK,Diseases of the nervous system,2002,116,642337,18.1,29756800000,46325.84,Pacific,West,35.83274432,Nervous system diseases
AK,Diseases of the genitourinary system,2000,47,626932,7.5,26806600000,42758.39,Pacific,West,19.3872612,Genitourinary diseases
AK,Diseases of the digestive system,2009,189,698895,27,49957800000,71481.12,Pacific,West,29.14709859,Digestive system diseases
AK,Diseases of the respiratory system,1999,230,624779,36.8,24744300000,39604.88,Pacific,West,82.37631222,Respiratory system diseases
AK,Certain infectious and parasitic diseases,2008,70,687455,10.2,55122500000,80183.43,Pacific,West,22.50357049,Infectious & parasitic diseases
AK,Certain infectious and parasitic diseases,2009,73,698895,10.4,49957800000,71481.12,Pacific,West,22.67420325,Infectious & parasitic diseases
AK,"Endocrine, nutritional and metabolic diseases",2002,116,642337,18.1,29756800000,46325.84,Pacific,West,34.57902938,Endocrine & nutritional diseases
AK,"Endocrine, nutritional and metabolic diseases",2003,128,648414,19.7,32037900000,49409.64,Pacific,West,34.62263129,Endocrine & nutritional diseases
AK,Mental and behavioural disorders,2000,88,626932,14,26806600000,42758.39,Pacific,West,16.35089487,Mental health
AK,Diseases of the digestive system,2002,141,642337,22,29756800000,46325.84,Pacific,West,30.14687243,Digestive system diseases
AK,Diseases of the respiratory system,2007,295,680300,43.4,49583700000,72885.05,Pacific,West,75.45931322,Respiratory system diseases
AK,Diseases of the digestive system,2005,134,666946,20.1,40356600000,60509.55,Pacific,West,29.57228132,Digestive system diseases
AK,Mental and behavioural disorders,2004,138,659286,20.9,35302400000,53546.41,Pacific,West,21.01191489,Mental health
AK,Mental and behavioural disorders,2005,172,666946,25.8,40356600000,60509.55,Pacific,West,24.18341313,Mental health
AK,"Congenital malformations, deformations and chromosomal abnormalities",2001,25,633714,3.9,28494100000,44963.66,Pacific,West,3.664258796,Congenital malformalities
AK,"Congenital malformations, deformations and chromosomal abnormalities",2002,29,642337,4.5,29756800000,46325.84,Pacific,West,3.715599419,Congenital malformalities
AK,Mental and behavioural disorders,2007,167,680300,24.5,49583700000,72885.05,Pacific,West,29.97033438,Mental health
AK,Mental and behavioural disorders,2008,179,687455,26,55122500000,80183.43,Pacific,West,34.40285297,Mental health
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",1999,42,624779,6.7,24744300000,39604.88,Pacific,West,9.558480484,Non-classified natural cuases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2000,35,626932,5.6,26806600000,42758.39,Pacific,West,11.32676573,Non-classified natural cuases
AK,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",2001,36,633714,5.7,28494100000,44963.66,Pacific,West,11.34369181,Non-classified natural cuases
AK,Certain conditions originating in the perinatal period,1999,13,624779,2.1,24744300000,39604.88,Pacific,West,5.110016992,Perinatal conditions
AK,Certain conditions originating in the perinatal period,2000,23,626932,3.7,26806600000,42758.39,Pacific,West,4.99925546,Perinatal conditions
