State,Year,GDP,Jobs
Alabama,1999,115680100000.0,2378217
Alaska,1999,24744300000.0,381307
Arizona,1999,155755800000.0,2695892
Arkansas,1999,66811300000.0,1460374
California,1999,1241899700000.0,18852334
Colorado,1999,163763300000.0,2808435
Connecticut,1999,152287500000.0,2070018
Delaware,1999,40345100000.0,491018
District of Columbia,1999,58819200000.0,711478
Florida,1999,458058900000.0,8577884
Georgia,1999,289187900000.0,4728750
Hawaii,1999,38990600000.0,738111
Idaho,1999,34239900000.0,747188
Illinois,1999,460331100000.0,7218569
Indiana,1999,193147300000.0,3596542
Iowa,1999,87782400000.0,1896080
Kansas,1999,81883800000.0,1740420
Kentucky,1999,115106800000.0,2264164
Louisiana,1999,125807300000.0,2352801
Maine,1999,34413200000.0,762975
Maryland,1999,180261600000.0,3007654
Massachusetts,1999,264644400000.00003,3962492
Michigan,1999,338312400000.0,5485654
Minnesota,1999,175759300000.0,3256931
Mississippi,1999,63879000000.0,1469707
Missouri,1999,177738000000.0,3422953
Montana,1999,20812200000.0,543115
Nebraska,1999,53685200000.0,1156816
Nevada,1999,71595900000.0,1189071
New Hampshire,1999,41955200000.0,760763
New Jersey,1999,336064900000.0,4571128
New Mexico,1999,53017300000.0,942297
New York,1999,795230000000.0,10164527
North Carolina,1999,265375700000.0,4802414
North Dakota,1999,17067200000.0,435651
Ohio,1999,376465200000.0,6681355
Oklahoma,1999,84223900000.0,1953349
Oregon,1999,107621500000.0,2051144
Pennsylvania,1999,390916800000.0,6764360
Rhode Island,1999,32267200000.0,566528
South Carolina,1999,110241700000.0,2240690
South Dakota,1999,21078700000.0,501684
Tennessee,1999,176281900000.0,3397301
Texas,1999,679870300000.0,11761409
Utah,1999,66019300000.0,1338175
Vermont,1999,17176900000.000002,389726
Virginia,1999,249801100000.0,4261127
Washington,1999,229797900000.0,3446900
West Virginia,1999,41714300000.0,868236
Wisconsin,1999,172224100000.0,3350388
Wyoming,1999,15679700000.0,315198
Alabama,2000,119851700000.0,2392225
Alaska,2000,26806600000.0,389734
Arizona,2000,165110700000.0,2801510
Arkansas,2000,68678500000.0,1482449
California,2000,1356975400000.0,19228895
Colorado,2000,180063200000.0,2918002
Connecticut,2000,165614300000.0,2118177
Delaware,2000,43451300000.0,503458
District of Columbia,2000,61092900000.0,735304
Florida,2000,490429800000.0,8881279
Georgia,2000,305572000000.0,4860810
Hawaii,2000,41096800000.0,749439
Idaho,2000,38083100000.0,776910
Illinois,2000,487014600000.0,7357491
Indiana,2000,203801100000.0,3648148
Iowa,2000,93112000000.0,1915254
Kansas,2000,86099000000.0,1760312
Kentucky,2000,114169200000.0,2306481
Louisiana,2000,132640799999.99998,2388668
Maine,2000,36890300000.0,784039
Maryland,2000,192021400000.0,3092125
Massachusetts,2000,288791000000.0,4070320
Michigan,2000,352152400000.0,5621494
Minnesota,2000,191515000000.0,3330936
Mississippi,2000,65673100000.00001,1476295
Missouri,2000,186650000000.0,3470846
Montana,2000,21876700000.0,552690
Nebraska,2000,56527500000.0,1173756
Nevada,2000,76833100000.0,1254358
New Hampshire,2000,45342000000.0,783545
New Jersey,2000,361005400000.0,4748598
New Mexico,2000,55105000000.0,964919
New York,2000,841181300000.0,10424526
North Carolina,2000,278008500000.0,4891957
North Dakota,2000,18100100000.0,440643
Ohio,2000,392277200000.0,6789300
Oklahoma,2000,91093900000.0,1994373
Oregon,2000,117154600000.0,2092153
Pennsylvania,2000,409159900000.0,6905286
Rhode Island,2000,34466800000.0,582589
South Carolina,2000,115320600000.0,2279819
South Dakota,2000,22743300000.0,512377
Tennessee,2000,182247200000.0,3459310
Texas,2000,738677000000.0,12138771
Utah,2000,70295900000.0,1380538
Vermont,2000,18341100000.0,400963
Virginia,2000,268470900000.00003,4399151
Washington,2000,237378200000.0,3526778
West Virginia,2000,42495600000.0,875561
Wisconsin,2000,180427300000.0,3413585
Wyoming,2000,17152500000.0,324653
Alabama,2001,122915500000.0,2376053
Alaska,2001,28494100000.0,394565
Arizona,2001,171909600000.0,2829002
Arkansas,2001,70616700000.0,1482587
California,2001,1375761300000.0,19341458
Colorado,2001,186695800000.0,2941583
Connecticut,2001,171216600000.0,2125253
Delaware,2001,46096100000.0,502735
District of Columbia,2001,65442900000.0,741793
Florida,2001,519058600000.0,8938947
Georgia,2001,317475500000.0,4871814
Hawaii,2001,42585400000.0,752548
Idaho,2001,37489000000.0,783399
Illinois,2001,501552800000.0,7309738
Indiana,2001,205470900000.0,3588944
Iowa,2001,94837800000.0,1902198
Kansas,2001,88883600000.0,1767601
Kentucky,2001,117647900000.0,2283616
Louisiana,2001,137901200000.0,2397993
Maine,2001,38605700000.0,787577
Maryland,2001,205981000000.0,3119857
Massachusetts,2001,296868700000.0,4075959
Michigan,2001,349885800000.0,5526201
Minnesota,2001,196006100000.0,3347326
Mississippi,2001,67174000000.0,1455992
Missouri,2001,190657100000.0,3451902
Montana,2001,22847600000.0,559924
Nebraska,2001,59607200000.0,1175112
Nevada,2001,80429200000.0,1285310
New Hampshire,2001,46817500000.0,788168
New Jersey,2001,373698000000.0,4777145
New Mexico,2001,55789700000.0,976506
New York,2001,878346500000.0,10438676
North Carolina,2001,288069500000.0,4855476
North Dakota,2001,18889100000.0,445433
Ohio,2001,396944500000.0,6725753
Oklahoma,2001,97059600000.0,2009183
Oregon,2001,116963600000.0,2079058
Pennsylvania,2001,427108600000.0,6915464
